"","CNS","Crystal cells","Dorsal vessel","Epidermis","Fatbody","Gastric caecum","Germ cells","Glia","Malphigian tubules","Midgut","Muscle","Plasmocytes","PNS","Ring glands","Salivary glands","Trachea"
"CG14646",0.231117687403297,0.0304191459942186,0.135903712585828,0.104819163741342,0.107109933611682,0.0652267912447443,0.282406792487077,0.254286049121733,0.0709576766929495,0.0959790905566122,0.0301130574470232,0.199734805309236,0.19008685207414,0.144225686107537,0.166890563701402,0.0278343882792649
"CG34112",0.00950568374184472,0,0.00245447320637804,0.00465453036507976,0.00320211480215947,0.0152104131666718,0.0112629544110097,0.00155908560253046,0.0407330116838023,0.0756795778351638,0,0,0.0218934615207187,0,0,0.00435509373335691
"CR46139",0.00103913519301278,0,0,0,0,0.00429708200511775,0,0,0,0.000749768621403435,0,0,0.00299919051847906,0,0,0
"CR45999",0.00309851673721273,0,0,0.00213205861157807,0.00102870856845635,0.0109478789011817,0.00272271910333236,0,0.12100351838339,0.126757304973079,0,0,0.00510394269705882,0,0,0.00371782276002011
"CG9855",0.418560667568021,0.147699881647331,0.315710200863221,0.17576505612599,0.178476303691526,0.112163884441449,0.240892746671835,0.338512871397793,0.14098900349628,0.220033234415121,0.145699698334739,0.254076554253973,0.403193582770523,0.316857523397812,0.078770078167135,0.126630547180939
"CG9853",0.674685513133476,0.0927763615057184,0.60363824299696,0.281312141043956,0.42956269122988,0.460598375492692,0.635517672097416,0.537093125558639,0.378967714339751,0.566148509149392,0.256783857616871,0.394225446059325,0.425007921547914,0.468469473504514,0.124773938599175,0.132183338844107
"CG14647",0.286896271595726,0.0281091684628941,0.313976914716432,0.226665604114682,0.12197288820708,0.161865146703604,0.609923190974477,0.295116907382735,0.226069336954297,0.277114925675509,0.0617123582157968,0.237803879354673,0.235723323438406,0.148903168198025,0.0643053243776833,0.0904729513577574
"CR45187",0.0442062041485735,0,0.0112347504574786,0.00380246126301086,0.0031524713932143,0.00969527097616213,0.00673419492867983,0.0118163094805013,0,0.00304780676964742,0.012003519099814,0.0254441185659489,0.0227831003824149,0.00936376932916084,0,0.000478514621708112
"lost",2.68789670257333,0.222134971974991,3.28925885537491,1.36272489710373,3.59394981776944,1.79370020501622,2.40401271617028,3.01140172270757,2.1542441848494,1.56752055946698,1.12508760356492,2.02860901129378,2.5313715670675,1.77626629697844,0.532926710593011,0.631208811729176
"CG32944",0.374316394876954,0.0176909275223729,0.0226306950216148,0.018713500886244,0.0240772357993955,0,0.0159219187778007,0.0714934743783672,0,0.00468545838937272,0.014829701334118,0.00980349527738829,0.27163308018383,0.0215770124238851,0,0.00699617875268724
