"","fb_tx_id","fb_gene_id","fb_symbol","late.tss","late.tu","PI"
"73","FBtr0331597","FBgn0001105","Gbeta13F",4.29844309113379,1.66029192223996,2.63815116889383
"74","FBtr0307091","FBgn0001114","Glt",2.30092197354011,0.333751571559997,1.96717040198011
"75","FBtr0072142","FBgn0001123","Galphas",2.06925150395445,1.25884333468155,0.810408169272897
"76","FBtr0087232","FBgn0001124","Got1",3.47203295469394,1.27083715916309,2.20119579553085
"77","FBtr0077867","FBgn0001125","Got2",3.70003733374266,1.02929354113501,2.67074379260764
"78","FBtr0079708","FBgn0001137","grk",3.18575010701577,0.15442453662339,3.03132557039237
"79","FBtr0081808","FBgn0001138","grn",4.70439536534245,-0.548968145710168,5.25336351105262
"80","FBtr0078114","FBgn0001142","Gs1",5.82364095766919,2.05294877455167,3.77069218311752
"81","FBtr0072444","FBgn0001148","gsb",2.00365793004893,-1.06730530811635,3.07096323816528
"82","FBtr0082607","FBgn0001149","GstD1",5.60185312804001,3.15516009250519,2.44669303553482
"83","FBtr0070460","FBgn0001150","gt",1.60956957227809,-1.31175829751852,2.9213278697966
"84","FBtr0100153","FBgn0001168","h",6.10213294014404,5.38067458458393,0.721458355560113
"85","FBtr0081950","FBgn0001180","hb",1.20136320959609,-0.804930217114329,2.00629342671042
"86","FBtr0071361","FBgn0001186","Hex-A",5.51072010753171,1.67571190650002,3.83500820103169
"87","FBtr0087399","FBgn0001187","Hex-C",0.0716985485467014,-1.07106286752567,1.14276141607237
"88","FBtr0333115","FBgn0001189","hfw",1.85340103623355,0.44259790616752,1.41080313006603
"89","FBtr0076811","FBgn0001208","Hn",2.60276864706747,0.313040504146632,2.28972814292084
"90","FBtr0339969","FBgn0001220","Hsc70-5",4.17728660419748,2.15698789419657,2.02029871000091
"91","FBtr0100559","FBgn0001223","Hsp22",2.53217283032887,-0.0769393698141936,2.60911220014306
"92","FBtr0309504","FBgn0001224","Hsp23",2.24248937125204,-0.190097289105014,2.43258666035705
"93","FBtr0346539","FBgn0001225","Hsp26",5.24895144316579,2.629321295666,2.61963014749979
"94","FBtr0084589","FBgn0001230","Hsp68",4.18278729160421,1.34733347309958,2.83545381850463
"95","FBtr0082255","FBgn0001235","hth",5.73943790669311,1.45634803617226,4.28308987052085
"96","FBtr0273273","FBgn0001247","Ide",1.71682543748814,-0.0798428593382138,1.79666829682635
"97","FBtr0076607","FBgn0001253","ImpE1",4.54354975017386,0.840400318547965,3.7031494316259
"98","FBtr0077008","FBgn0001258","Ldh",4.31883193029474,1.9461253562205,2.37270657407424
"99","FBtr0345673","FBgn0001269","inv",3.0384502023898,-0.357065624493801,3.3955158268836
"100","FBtr0088704","FBgn0001285","Jon44E",-2.04716082632541,-2.70521156959147,0.658050743266061
"101","FBtr0088411","FBgn0001291","Jra",2.92306489558853,2.00304169965464,0.92002319593389
"102","FBtr0302563","FBgn0001296","kar",2.57881051943857,0.297024306408656,2.28178621302992
"103","FBtr0099990","FBgn0001297","kay",6.41859962801345,2.53673628965949,3.88186333835396
"104","FBtr0087184","FBgn0001308","Khc",3.45595962631574,0.732238142627593,2.72372148368815
"105","FBtr0078798","FBgn0001311","kkv",4.7294382351712,0.948870464934495,3.78056777023671
"106","FBtr0087465","FBgn0001319","kn",1.89737460241672,-1.47886368646167,3.37623828887839
"107","FBtr0078283","FBgn0001320","kni",4.39758974552077,0.671324963504542,3.72626478201623
"108","FBtr0082194","FBgn0001321","knk",4.25543586990463,0.32436529631048,3.93107057359415
"109","FBtr0072449","FBgn0001325","Kr",4.19294244220741,-0.428054716752645,4.62099715896005
"110","FBtr0070440","FBgn0001404","egh",2.96388449077784,-0.0148284550376544,2.97871294581549
"111","FBtr0302114","FBgn0001624","dlg1",3.72677604841547,-0.141457442859942,3.86823349127541
"112","FBtr0079179","FBgn0001941","ifc",3.7160129905183,0.905036392649408,2.81097659786889
"113","FBtr0080734","FBgn0001981","esg",4.51746196208766,1.09583160015319,3.42163036193447
"114","FBtr0080765","FBgn0001987","Gli",5.84019349628862,2.85117842700217,2.98901506928646
"115","FBtr0332025","FBgn0001991","Ca-alpha1D",3.4741214849812,-1.63555130725288,5.10967279223407
"116","FBtr0080854","FBgn0001994","crp",6.44882882174522,2.24023218971634,4.20859663202888
"117","FBtr0081177","FBgn0002021","l(2)37Bb",0.017278409462695,-0.376594097931235,0.39387250739393
