flybase_gene_id,flybase_symbol,poised.toll10b_02to04h,poised.mef2_06to08h,poised.mef2_08to10h,poised.mef2_10to12h,poised.mef2_14to17h,PcG_repressed.toll10b_02to04h,PcG_repressed.mef2_06to08h,PcG_repressed.mef2_08to10h,PcG_repressed.mef2_10to12h,PcG_repressed.mef2_14to17h,PcG_repressed.elav_14to17h,Poised_opening_set,Poised_constant_set,Poised_closing_set,Poised_regulated_set,Non_poised_regulated_set,Differential_K27_muscle,Differential_k27_neuron,Balanced_toll10b
FBgn0000542,ec,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000543,ecd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000546,EcR,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000547,ed,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000551,Edg78E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000552,Edg84A,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
FBgn0000556,Ef1alpha48D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000557,Ef1alpha100E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000559,Ef2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000560,eg,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0
FBgn0000562,egl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000564,Eh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000565,Eip71CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000566,Eip55E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000567,Eip74EF,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FBgn0000568,Eip75B,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FBgn0000575,emc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000576,ems,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1
FBgn0000577,en,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1
FBgn0000578,ena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000579,Eno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000581,E(Pc),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000588,esc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000592,Est-6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FBgn0000594,Est-P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000606,eve,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1
FBgn0000611,exd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000615,exu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000617,e(y)1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000625,eyg,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
FBgn0000629,E(z),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000630,f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000633,fas,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000634,Fas1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000635,Fas2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000636,Fas3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000639,Fbp1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
FBgn0000640,Fbp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000644,Fcp3C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000658,fj,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000659,fkh,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
FBgn0000662,fl(2)d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000667,Actn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000709,fliI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000711,flw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000715,Fmrf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000719,fog,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
FBgn0000721,for,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000723,Fps85D,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0000808,gd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000810,fs(1)K10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000826,png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000927,fs(1)Ya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000928,fs(1)Yb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000964,tj,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
FBgn0000986,Fs(2)Ket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000996,dup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001075,ft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001077,ftz,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
FBgn0001078,ftz-f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FBgn0001079,fu,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0001083,fw,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FBgn0001084,fy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001085,fz,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0001086,fzy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001087,g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001089,Gal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001090,bnb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001091,Gapdh1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001092,Gapdh2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
